Elapsed Dive Time (hr:min),Depth (M),TLBG (Tissue Loading Bar Graph) (segments),O2BG (Oxygen Bar Graph) (segments),Tank,Pressure Reading (BAR),PO2 (ATA),VARI (Variable Ascent Rate Indicator) (MPM),Air Time Remaining (hr:min),Dive Time Remaining (hr:min),Deco Time (hr:min),Stop Depth (M),Temp. (C),Link Status,Status
00:00,5.8 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,23.3 ,N/A,
00:00,5.8 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,23.3 ,N/A,
00:00,5.8 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,23.3 ,N/A,
00:00,5.8 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,22.8 ,N/A,
00:00,5.8 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,22.8 ,N/A,
00:00,5.8 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,22.8 ,N/A,
00:00,5.8 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,22.8 ,N/A,
00:00,5.5 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,22.8 ,N/A,
00:00,5.5 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,22.2 ,N/A,
00:00,5.5 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,22.2 ,N/A,
00:00,5.5 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,22.2 ,N/A,
00:00,5.5 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,22.2 ,N/A,
00:00,5.5 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,22.2 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.7 ,N/A,
00:01,5.5 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.7 ,N/A,
00:01,5.5 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.7 ,N/A,
00:01,5.5 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.7 ,N/A,
00:01,5.5 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.1 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.1 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,21.1 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,21.1 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.1 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,21.1 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.6 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.6 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.6 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,20.6 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,20.6 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,20.0 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,19.4 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,19.4 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,19.4 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,19.4 ,N/A,
00:01,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,19.4 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,19.4 ,N/A,
00:01,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,19.4 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.9 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.6 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.6 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.9 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,18.3 ,N/A,
00:02,4.3 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,3.7 ,1,0,1,N/A,0,>9 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,Too Fast
00:02,4.0 ,1,0,1,N/A,0,>9 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,Too Fast
00:02,4.0 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,3.7 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,4.0 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,4.0 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,3.7 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,3.7 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,4.3 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:02,4.6 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,4.6 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,4.6 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,4.6 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,4.6 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,17.8 ,N/A,
00:03,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.2 ,N/A,
00:03,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,17.2 ,N/A,
